[11:26:16] [INFO] received Windows console close event; shutting log-core down
[00:05:29] [INFO] received Windows console close event; shutting log-core down
[00:05:29] [INFO] received Windows console close event; shutting log-core down
[00:24:38] [INFO] received Windows console close event; shutting log-core down
[03:52:06] [INFO] received Windows console close event; shutting log-core down
[13:33:52] [INFO] received Windows console close event; shutting log-core down
[14:05:58] [INFO] received Windows console close event; shutting log-core down
[14:16:11] [INFO] received Windows console close event; shutting log-core down
[14:18:45] [INFO] received Windows console close event; shutting log-core down
[16:19:41] [INFO] received Windows console close event; shutting log-core down
[16:59:14] [INFO] received Windows console close event; shutting log-core down
[16:59:42] [INFO] received Windows console close event; shutting log-core down
[16:59:48] [INFO] received Windows console close event; shutting log-core down
[17:00:54] [INFO] received Windows console close event; shutting log-core down
[17:00:55] [INFO] received Windows console close event; shutting log-core down
[17:01:37] [INFO] received Windows console close event; shutting log-core down
[17:41:15] [INFO] received Windows console close event; shutting log-core down
[18:08:28] [INFO] received Windows console close event; shutting log-core down
[19:10:31] [INFO] received Windows console close event; shutting log-core down
[01:52:56] [INFO] received Windows console close event; shutting log-core down
